player_id,goals,assists,minutes_played,minutes_per_g_a
14086,1,3,1541,385.25
16306,1,0,990,990.0
43530,0,2,336,168.0
51471,4,1,1565,313.0
53622,0,2,1445,722.5
67063,6,4,1446,144.6
69633,0,1,634,634.0
72476,0,1,2340,2340.0
74230,1,1,482,241.0
75489,2,1,368,122.67
88755,2,6,1077,134.62
91845,6,9,1751,116.73
104124,1,1,844,422.0
108354,4,0,2090,522.5
108725,18,3,2111,100.52
118534,2,0,812,406.0
123275,1,0,409,409.0
123551,1,1,1914,957.0
125714,0,1,2196,2196.0
126664,0,4,1903,475.75
126665,0,2,2016,1008.0
127187,2,1,1860,620.0
130164,0,1,2340,2340.0
131978,3,1,544,136.0
134294,1,2,264,88.0
134425,0,1,294,294.0
135343,2,0,1873,936.5
139208,1,1,2430,1215.0
144028,4,5,1631,181.22
148367,3,2,1840,368.0
148455,25,16,2395,58.41
170527,0,3,500,166.67
170934,1,3,1363,340.75
171679,2,1,1340,446.67
173504,1,1,2332,1166.0
181579,0,1,961,961.0
181778,2,1,1690,563.33
186186,1,2,566,188.67
186590,2,0,545,272.5
188077,2,3,1909,381.8
193098,0,1,819,819.0
193116,0,3,1634,544.67
197838,7,3,1966,196.6
199527,5,7,1513,126.08
203394,2,2,1325,331.25
203460,0,1,604,604.0
204103,2,4,1313,218.83
206040,9,3,1699,141.58
206746,0,2,1266,633.0
207014,0,3,1595,531.67
225122,2,4,734,122.33
230784,3,2,2020,404.0
231572,0,3,1882,627.33
236490,2,1,2265,755.0
238223,0,3,1530,510.0
240306,6,6,2109,175.75
241641,2,4,1914,319.0
242631,7,3,2197,219.7
243028,2,0,1886,943.0
245056,0,2,1682,841.0
249089,1,3,2122,530.5
249126,0,2,1461,730.5
249565,2,4,2316,386.0
250426,2,2,1254,313.5
251106,2,1,332,110.67
255731,0,1,934,934.0
255788,0,1,900,900.0
258878,1,0,904,904.0
258889,7,3,1601,160.1
258923,4,3,1252,178.86
262226,0,1,1068,1068.0
270171,1,3,1875,468.75
272855,2,1,649,216.33
274839,0,4,1385,346.25
277033,2,0,663,331.5
279455,5,1,835,139.17
283628,5,1,1841,306.83
284857,2,2,1989,497.25
289592,1,0,1261,1261.0
292139,4,0,989,247.25
292246,2,0,612,306.0
292808,1,0,1822,1822.0
294057,9,5,1396,99.71
295313,1,0,245,245.0
296622,2,0,184,92.0
306024,3,1,1582,395.5
309400,9,3,1842,153.5
314353,2,6,1991,248.88
314875,7,4,1921,174.64
316264,2,3,1469,293.8
319859,0,1,719,719.0
324223,0,1,844,844.0
324358,12,5,1908,112.24
326031,1,0,1733,1733.0
330659,11,5,1690,105.62
332705,0,3,984,328.0
333241,4,1,1922,384.4
335721,0,1,698,698.0
338070,0,1,376,376.0
338424,4,1,874,174.8
340324,0,1,1620,1620.0
340325,1,1,992,496.0
340328,3,1,1354,338.5
340329,0,2,728,364.0
340456,0,1,2001,2001.0
340950,5,3,759,94.88
341051,0,2,2143,1071.5
344381,2,1,614,204.67
346314,3,1,1513,378.25
349066,19,5,1984,82.67
349503,1,1,611,305.5
349599,0,1,1440,1440.0
349701,0,10,2340,234.0
354362,2,0,1040,520.0
355915,1,0,976,976.0
357119,1,2,1716,572.0
357147,0,1,2217,2217.0
357662,1,5,1891,315.17
363205,3,0,603,201.0
365172,1,0,301,301.0
369316,1,0,387,387.0
372246,1,1,1041,520.5
375885,0,1,262,262.0
378710,2,1,278,92.67
386047,1,0,544,544.0
387626,1,2,1053,351.0
388165,12,2,1849,132.07
391005,0,2,1097,548.5
392757,3,2,2250,450.0
392765,5,2,1589,227.0
392768,4,2,1650,275.0
397033,1,1,1570,785.0
398065,5,1,796,132.67
399434,2,5,1292,184.57
401173,2,4,1199,199.83
401356,0,1,1414,1414.0
405385,1,1,1257,628.5
406634,1,1,472,236.0
406635,7,2,1534,170.44
410225,4,3,1761,251.57
410425,2,0,1055,527.5
413039,15,4,2337,123.0
413220,2,1,2025,675.0
413403,1,0,1992,1992.0
413507,3,1,2250,562.5
414908,0,1,135,135.0
415381,1,2,474,158.0
418560,19,3,2215,100.68
420002,11,2,2046,157.38
420243,1,1,1941,970.5
420808,1,1,231,115.5
425334,1,1,1355,677.5
425902,2,0,1467,733.5
429014,5,5,1767,176.7
429983,7,2,1890,210.0
431755,7,4,2131,193.73
433177,5,10,1276,85.07
433183,0,1,461,461.0
433188,3,3,1119,186.5
434224,1,1,2066,1033.0
434675,8,3,1384,125.82
435338,3,1,2079,519.75
435648,3,1,1055,263.75
442248,2,0,1560,780.0
444523,4,0,1705,426.25
445939,3,0,299,99.67
450050,2,3,1074,214.8
451276,4,4,1820,227.5
